ID_da_instituicao	Ano	Publicacoes
080300000004	2010	41
008300000001	2013	255
623800000002	2014	28
623800000002	2013	37
623800000002	2010	29
002000000996	2014	91
002000000996	2010	27
021100000005	2010	94
002100000009	2012	293
832500000009	2011	78
489200000001	2015	5
874100000007	2015	25
874100000007	2014	22
874100000007	2013	22
874100000007	2012	20
874100000007	2011	26
874100000007	2010	16
032600000000	2011	275
008200000000	2014	114
007000000008	2013	151
007000000008	2010	161
J4D600000002	2015	26
J4D600000002	2014	28
J4D600000002	2013	25
J4D600000002	2010	35
033100000009	2013	133
198100000000	2011	146
027500000001	2013	24
027500000001	2012	24
JL8W00000004	2015	42
JL8W00000004	2011	43
020100000007	2015	35
001200000991	2014	56
001200000991	2010	57
456700000004	2015	7
456700000004	2014	9
456700000004	2013	8
456700000004	2012	10
478500000001	2011	7
014000000000	2015	50
014000000000	2013	55
014000000000	2012	66
002100000009	2013	279
001400000995	2014	60
001400000995	2010	59
J3UC00000003	2013	42
087000000006	2015	116
087000000006	2010	110
J00Z00000007	2013	9
051400000002	2012	129
051400000002	2010	56
067900000008	2014	20
067900000008	2012	21
067900000008	2010	22
008300000001	2010	179
822900000009	2010	24
014000000000	2014	60
516400000006	2013	7
516400000006	2011	6
J04H00000003	2014	2
067900000008	2013	98
067900000008	2011	22
000900000996	2011	76
J0BF00000005	2012	3
154800000000	2015	4
154800000000	2014	7
154800000000	2013	6
894500000009	2015	42
894500000009	2014	35
431100000008	2015	35
431100000008	2013	43
431100000008	2012	34
431100000008	2011	32
431100000008	2010	75
024800000002	2013	36
JL8W00000004	2013	65
000200000004	2013	99
000200000004	2012	107
000200000004	2010	111
J0T000000001	2015	79
J0T000000001	2014	12
J0T000000001	2013	8
J0T000000001	2012	8
071500000009	2015	33
071500000009	2013	43
071500000009	2012	38
087900000002	2014	81
087900000002	2013	44
087900000002	2012	58
173400000000	2015	12
769300000008	2015	58
769300000008	2014	59
769300000008	2013	64
769300000008	2012	53
000800000994	2015	93
000800000994	2014	92
000800000994	2013	110
000800000994	2011	98
985600088568	2014	8
985600088568	2013	6
117800000006	2013	58
IYJ200000008	2015	8
IYJ200000008	2014	4
154100000008	2015	35
577300000006	2012	75
577300000006	2011	63
226100000009	2013	35
431900000002	2015	64
431900000002	2014	82
431900000002	2013	63
431900000002	2012	64
431900000002	2011	82
431900000002	2010	66
040000000000	2012	16
505800000008	2013	28
505800000008	2012	31
579700000000	2014	9
032300000004	2010	121
001300000993	2015	65
001300000993	2012	56
001300000993	2010	57
021700000006	2013	67
363100000000	2012	105
GFKK00000005	2013	2
506700000004	2014	32
IYZQ00000002	2015	24
024800000002	2014	30
281500000009	2015	22
281500000009	2012	23
281500000009	2011	26
281500000009	2010	19
000700000992	2013	171
000700000992	2012	137
423400000002	2013	17
829000000000	2014	59
001900000994	2014	23
001500000997	2014	109
350700000009	2014	39
350700000009	2013	41
IZCF00000003	2015	117
864100000000	2012	1
021200000007	2014	12
021200000007	2012	13
033800000001	2013	107
033800000001	2010	109
475600000009	2014	50
475600000009	2011	45
I25800000001	2013	4
I25800000001	2012	3
201100000003	2011	71
201100000003	2010	64
008300000001	2011	192
577300000006	2014	62
065800000000	2012	76
032100000000	2012	121
J8XE00000008	2010	2
810400000006	2011	29
426500000009	2013	14
014000000000	2011	104
080800000003	2010	8
408800000006	2012	26
869700000001	2014	2
985600042835	2015	5
985600042835	2013	12
985600042835	2011	10
410300000009	2014	53
410300000009	2013	66
410300000009	2012	56
410300000009	2010	46
118000000000	2011	15
004400000000	2011	183
013100000004	2015	5
013100000004	2014	6
013100000004	2013	6
033800000001	2014	102
JIDJ00000007	2012	20
IW9W00000003	2013	26
000200000993	2013	271
JLDY00000007	2013	23
