ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
021100000005	UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO	33017	3306	33	24	3	6	10	15	4	1	3	0	12	12	7	6	103
065800000000	INSTITUTO BUTANTAN	35061	3515	35	12	5	8	2	8	0	0	2	0	14	0	7	0	58
387300000000	INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO ESPIRITO SANTO	32003	3201	32	12	5	14	8	14	0	3	4	0	11	7	2	2	82
000900000996	ATTI PSICOLOGIA CLINICA E CONSULTORIA SOLUCOES COMPORTAMENTAIS	35061	3515	35	9	6	18	5	2	2	0	9	0	13	5	9	2	80
000600000990	FAZENDA BOM JESUS DO HERVAL BJH LTDA	42009	4203	42	11	4	20	4	12	5	2	6	0	9	2	20	7	102
412700000002	FUNDACAO UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE	43026	4305	43	8	3	27	1	9	1	5	12	0	8	0	14	4	92
431200000000	UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL	43026	4305	43	7	0	0	2	4	1	1	0	0	0	0	1	0	16
000500000000	UNIVERSIDADE FEDERAL FLUMINENSE	33018	3306	33	21	6	34	32	23	10	23	12	4	16	18	25	25	249
000300000995	INSTITUTO VIRTUAL INTERNACIONAL DE MUDANCAS GLOBAIS COPPE UFRJ	33018	3306	33	20	9	32	9	14	1	5	12	0	18	7	17	4	148
478800000007	FACULDADE DE MEDICINA DE SAO JOSE DO RIO PRETO	35004	3501	35	3	3	17	0	1	0	1	8	0	5	0	9	0	47
032100000000	UNIVERSIDADE NOVE DE JULHO	35061	3515	35	3	2	16	11	8	1	25	4	1	1	11	13	9	105
016700000000	UNIVERSIDADE FEDERAL DO RIO GRANDE	43035	4307	43	31	8	9	22	18	9	7	4	0	12	5	8	3	136
000100000002	UNIVERSIDADE FEDERAL DO MARANHAO	21002	2101	21	21	3	19	8	11	0	11	2	2	12	12	13	2	116
032300000004	UNIVERSIDADE FEDERAL DO PIAUI	22003	2202	22	22	5	15	8	13	1	4	9	0	15	13	11	6	122
