Ano	ID_do_estado	Nome_do_estado	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2013	22	Piauí	1774815.0	3432678.0	13068203.0	9572866.0	27848173.0	3435418.0	31283598.0	3184166.0	1391441.3299999994
2013	23	Ceará	4879656.0	19347582.0	48931354.0	21711307.0	94869894.0	14166662.0	109036561.0	8778576.0	1316954.1800000006
2013	24	Rio Grande do Norte	1484893.0	11612824.0	20935633.0	12746692.0	46038588.0	5614653.0	51518454.0	3373959.0	1634592.1900000004
2013	25	Paraíba	1846080.0	7333211.0	17527283.0	14281023.0	40987583.0	5390489.0	46377285.0	3914421.0	1661999.2100000004
2013	26	Pernambuco	4245209.0	26001242.0	63686983.0	26962264.0	120895709.0	20254547.0	141150250.0	9208550.0	1611510.0300000003
2013	27	Alagoas	3494989.0	5924942.0	14931911.0	9356241.0	33708093.0	3574444.0	37282529.0	3300935.0	808977.0700000001
2013	28	Sergipe	1797385.0	8076492.0	13528257.0	8206528.0	31608664.0	3727324.0	35335989.0	2195662.0	997598.1999999998
2013	29	Bahia	13102100.0	42265736.0	92134237.0	36554008.0	179282893.0	26582568.0	204844273.0	15044137.0	3675788.550000001
2013	31	Minas Gerais	24063878.0	131169689.0	208202301.0	65374537.0	428810428.0	59194484.0	488004902.0	20593356.0	13048312.709999979
2013	32	Espírito Santo	3181361.0	39529665.0	40287986.0	14682954.0	97681967.0	19592381.0	117274345.0	3839366.0	2377589.49
2013	33	Rio de Janeiro	2442470.0	162747370.0	274802728.0	94967867.0	534960450.0	93266755.0	628226073.0	16369179.0	3377540.010000001
2013	35	São Paulo	26457519.0	325568626.0	927683723.0	142212563.0	1419426223.0	295817313.0	1715238415.0	43663669.0	16013505.649999993
2013	41	Paraná	29915244.0	75489076.0	146779371.0	35987680.0	287678629.0	45802533.0	333481153.0	10997465.0	9211801.069999998
2013	42	Santa Catarina	12115977.0	55719104.0	88942113.0	24194417.0	180971628.0	33540611.0	214512250.0	6634254.0	7968345.540000001
2013	43	Rio Grande do Sul	28784079.0	69527776.0	147890737.0	40545178.0	286665151.0	45627574.0	332292721.0	11164043.0	13340172.179999994
2013	50	Mato Grosso do Sul	10848014.0	13534625.0	25054327.0	11809777.0	61246743.0	7956454.0	69203202.0	2587269.0	2169883.41
2013	51	Mato Grosso	18403529.0	13826124.0	33175420.0	13074724.0	78479790.0	10733129.0	89212915.0	3182113.0	3836410.950000002
2013	52	Goiás	16443064.0	34474156.0	62138112.0	20752958.0	133808283.0	17491888.0	151300180.0	6434048.0	5292215.730000004
2013	53	Distrito Federal	612235	9690311	73716988	66783402	150802935	25103790	175906726	2789761	63054.41
2014	11	Rondônia	3867529.0	5449763.0	12521675.0	8537219.0	30376184.0	3654796.0	34030982.0	1748531.0	824587.21
2014	12	Acre	1324891.0	1401516.0	5265060.0	4357519.0	12348984.0	1109711.0	13458696.0	790101.0	276941.99000000005
2014	13	Amazonas	5181037.0	24785543.0	27814443.0	14116841.0	71897862.0	14775425.0	86668642.0	3873743.0	583813.7400000001
2014	14	Roraima	386510.0	1010035.0	3478906.0	4117582.0	8993029.0	751095.0	9744122.0	496936.0	203559.33
2014	15	Pará	13436407.0	33311858.0	42994151.0	23259223.0	113001635.0	11583309.0	124584945.0	8104880.0	1641611.0099999998
2014	16	Amapá	269322.0	1293216.0	5333651.0	5476246.0	12372438.0	1027848.0	13400286.0	750912.0	236234.25999999998
2014	17	Tocantins	3308539.0	3760202.0	9295411.0	7384562.0	23748710.0	2440613.0	26189323.0	1496880.0	2032375.1500000001
2014	21	Maranhão	7384204.0	12285260.0	32058619.0	16838253.0	68566335.0	8275699.0	76842026.0	6850884.0	1695148.7999999996
2014	22	Piauí	2524581.0	5402311.0	15463021.0	10593812.0	33983750.0	3739756.0	37723502.0	3194718.0	1685849.5999999999
2014	23	Ceará	5763512.0	21219780.0	58697763.0	25097729.0	110778787.0	15275770.0	126054461.0	8842791.0	1569574.4399999997
2014	24	Rio Grande do Norte	1540751.0	11032751.0	22328620.0	13806018.0	48235007.0	5787575.0	54022583.0	3408510.0	1782312.8099999994
2014	25	Paraíba	1817994.0	7848848.0	21602858.0	15727583.0	46997296.0	5939189.0	52936479.0	3943885.0	1847116.340000001
2014	26	Pernambuco	4436623.0	24795150.0	73335375.0	30753526.0	133320676.0	21821984.0	155142644.0	9277727.0	1794338.2799999998
2014	27	Alagoas	4127593.0	5945153.0	17218290.0	9973048.0	37264087.0	3710902.0	40974993.0	3321730.0	876931.2599999999
2014	28	Sergipe	1761810.0	8297843.0	14542799.0	9062324.0	33664781.0	3807653.0	37472428.0	2219574.0	1044300.7800000001
2014	29	Bahia	15483989.0	44613208.0	99338765.0	40236745.0	196202852.0	27727134.0	223929965.0	15126371.0	4004883.1699999976
2014	31	Minas Gerais	25586129.0	130897370.0	225777883.0	71892064.0	454153430.0	62480557.0	516633991.0	20734097.0	13814537.390000008
2014	32	Espírito Santo	3725464.0	42713512.0	47948489.0	15416697.0	109804168.0	18979617.0	128783779.0	3885049.0	2611794.4600000004
