Ano	ID_da_microregiao	Nome_da_microregiao	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2010	23019	Sertão de Quixeramobim	156224.0	238787.0	488325.0	515196.0	1398532.0	110639.0	1509171.0	266224.0	33656.28
2010	23032	Cariri	157443.0	655473.0	1872518.0	1005139.0	3690572.0	387170.0	4077739.0	534228.0	47119.46
2010	23014	Chorozinho	26086.0	17478.0	73073.0	126766.0	243402.0	12848.0	256250.0	62506.0	12484.83
2010	23015	Cascavel	138371.0	193830.0	250774.0	257349.0	840323.0	60247.0	900572.0	134149.0	18958.57
2010	23012	Canindé	70768.0	28402.0	183108.0	250083.0	532363.0	27482.0	559844.0	124708.0	16716.68
2010	23005	Sobral	101654.0	864142.0	1143424.0	770209.0	2879431.0	390961.0	3270393.0	380950.0	54934.19
2010	23002	Ibiapaba	322203.0	101196.0	490493.0	558883.0	1472775.0	117017.0	1589794.0	295250.0	40851.479999999996
2010	23007	Santa Quitéria	64035.0	36868.0	93062.0	141575.0	335541.0	16302.0	351844.0	72052.0	13975.87
2010	23026	Iguatu	135366.0	139292.0	626196.0	430742.0	1331598.0	148576.0	1480174.0	222906.0	28356.23
2010	23003	Coreaú	24014.0	15700.0	58740.0	114300.0	212754.0	9757.0	222511.0	55972.0	16016.28
2010	23025	Serra do Pereiro	23031.0	8369.0	50916.0	92603.0	174919.0	9571.0	184489.0	42471.0	17113.4
2010	23017	Pacajus	67074.0	720641.0	440862.0	234645.0	1463221.0	286034.0	1749255.0	117000.0	30533.29
2010	23006	Ipu	99334.0	30502.0	176110.0	262467.0	568413.0	27929.0	596344.0	137437.0	25369.84
2010	23010	Uruburetama	89313.0	186330.0	309516.0	204898.0	790056.0	102568.0	892625.0	101353.0	28431.28
2010	23024	Médio Jaguaribe	73554.0	44540.0	123596.0	124843.0	366534.0	27239.0	393773.0	62688.0	18733.190000000002
2010	23009	Baixo Curu	88637.0	264255.0	257805.0	215724.0	826422.0	127285.0	953707.0	105626.0	25866.14
2010	24012	Seridó Oriental	49772.0	102982.0	297461.0	328553.0	778766.0	83691.0	862459.0	118840.0	66010.81999999999
2010	24004	Vale do Açu	78890.0	524463.0	325255.0	406894.0	1335504.0	87076.0	1422579.0	140584.0	111635.07
2010	24009	Angicos	11347.0	21902.0	59623.0	154762.0	247634.0	16649.0	264283.0	51329.0	41398.59
2010	24005	Serra de São Miguel	22845.0	8151.0	60244.0	183987.0	275226.0	16150.0	291376.0	62766.0	41608.64
2010	24006	Pau dos Ferros	35486.0	32805.0	206516.0	325245.0	600048.0	52106.0	652150.0	114231.0	87265.52
2010	24007	Umarizal	15996.0	13786.0	76152.0	183521.0	289453.0	16077.0	305531.0	65024.0	52276.22
2010	24002	Chapada do Apodi	39598.0	334557.0	179016.0	207439.0	760609.0	36815.0	797423.0	72466.0	47379.52
2010	24001	Mossoró	205238.0	1937855.0	2017395.0	940269.0	5100760.0	571834.0	5672595.0	332697.0	90410.42
2010	24019	Litoral Sul	174055.0	146894.0	247118.0	373526.0	941592.0	141215.0	1082808.0	129082.0	86748.76999999999
2010	24003	Médio Oeste	14787.0	34539.0	40997.0	115315.0	205637.0	13556.0	219192.0	39040.0	32579.0
2010	24014	Borborema Potiguar	35561.0	37027.0	148320.0	383441.0	604349.0	39342.0	643691.0	134060.0	77002.55
2010	24013	Baixa Verde	18269.0	20492.0	104373.0	175175.0	318309.0	23903.0	342212.0	62901.0	24309.41
2010	24010	Serra de Santana	25584.0	13641.0	132638.0	175327.0	347192.0	31634.0	378825.0	61524.0	41240.54
2010	24015	Agreste Potiguar	79474.0	93787.0	287082.0	657606.0	1117955.0	82702.0	1200656.0	229881.0	108815.35000000003
2010	24008	Macau	52921.0	750148.0	358778.0	199884.0	1361734.0	87190.0	1448922.0	52545.0	122628.76000000001
2010	24011	Seridó Ocidental	33240.0	59542.0	301975.0	264369.0	659124.0	78373.0	737498.0	97692.0	44139.63
2010	24017	Macaíba	117549.0	1053675.0	973100.0	813737.0	2958060.0	530831.0	3488891.0	288671.0	55297.439999999995
2010	24018	Natal	41359.0	2473373.0	8351880.0	2929560.0	13796171.0	2078380.0	15874552.0	1030774.0	36447.1
2010	24016	Litoral Nordeste	96643.0	23461.0	85306.0	245655.0	451066.0	47791.0	498858.0	84026.0	40948.76
2010	25007	Serra do Teixeira	41414.0	19838.0	105001.0	326918.0	493172.0	14593.0	507765.0	115888.0	47676.9
2010	25005	Piancó	36827.0	20994.0	77747.0	200980.0	336548.0	11263.0	347810.0	70696.0	43360.299999999996
2010	25015	Brejo Paraibano	151036.0	41791.0	136545.0	321541.0	650914.0	24235.0	675148.0	116502.0	50389.20000000001
2010	25016	Guarabira	74937.0	105203.0	296385.0	449814.0	926343.0	69574.0	995917.0	164827.0	70943.90999999999
2010	25011	Cariri Oriental	46876.0	24566.0	66700.0	190199.0	328339.0	15591.0	343928.0	63707.0	65067.770000000004
2010	25012	Curimataú Ocidental	73424.0	40551.0	150411.0	340089.0	604476.0	26185.0	630660.0	119703.0	56911.42
2010	25023	Litoral Sul	160381.0	173753.0	197918.0	239392.0	771444.0	114086.0	885528.0	82430.0	42329.78
2010	25002	Cajazeiras	49624.0	97244.0	402955.0	463736.0	1013559.0	102129.0	1115687.0	167970.0	79570.18
2010	25010	Cariri Ocidental	62679.0	30073.0	184074.0	346222.0	623047.0	25333.0	648380.0	121544.0	90848.54
2010	25003	Sousa	93533.0	83823.0	387608.0	504131.0	1069099.0	86236.0	1155334.0	181850.0	87507.5
2010	25013	Curimataú Oriental	28473.0	20573.0	99005.0	257549.0	405600.0	15708.0	421308.0	93442.0	31476.67
2010	25004	Patos	23725.0	107158.0	408229.0	348031.0	887143.0	77799.0	964941.0	126704.0	49846.95
2010	25014	Esperança	14251.0	17030.0	106221.0	151116.0	288618.0	35496.0	324114.0	53596.0	20025.670000000002
2010	25019	Umbuzeiro	24478.0	7034.0	37995.0	151309.0	220816.0	5838.0	226653.0	53992.0	21116.54
2010	25020	Litoral Norte	103266.0	125166.0	219076.0	406346.0	853856.0	59516.0	913371.0	142073.0	68848.69
2010	25009	Seridó Oriental Paraibano	26343.0	28887.0	81372.0	212214.0	348817.0	14190.0	363005.0	73911.0	44857.479999999996
2010	25022	João Pessoa	75358.0	2978316.0	6809463.0	2836839.0	12699975.0	2155543.0	14855518.0	1034679.0	81827.72
2010	25001	Catolé do Rocha	32064.0	55049.0	194412.0	317062.0	598586.0	41343.0	639930.0	116065.0	55346.8
