nome,id
Pi-Francisco Ayres,2204105
Pi-Francisco Macedo,2204154
Pi-Francisco Santos,2204204
Pi-Fronteiras,2204303
Pi-Geminiano,2204352
Pi-Gilbues,2204402
Pi-Guadalupe,2204501
Pi-Guaribas,2204550
Pi-Hugo Napoleao,2204600
Pi-Ilha Grande,2204659
Pi-Inhuma,2204709
Pi-Ipiranga do Piaui,2204808
Pi-Isaias Coelho,2204907
Pi-Itainopolis,2205003
Pi-Itaueira,2205102
Pi-Jacobina do Piaui,2205151
Pi-Jaicos,2205201
Pi-Jardim do Mulato,2205250
Pi-Jatoba do Piaui,2205276
Pi-Jerumenha,2205300
Pi-Joao Costa,2205359
Pi-Joaquim Pires,2205409
Pi-Joca Marques,2205458
Pi-Jose de Freitas,2205508
Pi-Juazeiro do Piaui,2205516
Pi-Julio Borges,2205524
Pi-Jurema,2205532
Pi-Lagoinha do Piaui,2205540
Pi-Lagoa Alegre,2205557
Pi-Lagoa do Barro do Piaui,2205565
Pi-Lagoa de Sao Francisco,2205573
Pi-Lagoa do Piaui,2205581
Pi-Lagoa do Sitio,2205599
Pi-Landri Sales,2205607
Pi-Luis Correia,2205706
Pi-Luzilandia,2205805
Pi-Madeiro,2205854
Pi-Manoel Emidio,2205904
Pi-Marcolandia,2205953
Pi-Marcos Parente,2206001
Pi-Massape do Piaui,2206050
Pi-Matias Olimpio,2206100
Pi-Miguel Alves,2206209
Pi-Miguel Leao,2206308
Pi-Milton Brandao,2206357
Pi-Monsenhor Gil,2206407
Pi-Monsenhor Hipolito,2206506
Pi-Monte Alegre do Piaui,2206605
Pi-Morro Cabeca no Tempo,2206654
Pi-Morro do Chapeu do Piaui,2206670
Pi-Murici dos Portelas,2206696
Pi-Nazare do Piaui,2206704
Pi-Nazaria,2206720
Pi-Nossa Senhora de Nazare,2206753
Pi-Nossa Senhora dos Remedios,2206803
Pi-Novo Oriente do Piaui,2206902
Pi-Novo Santo Antonio,2206951
Pi-Oeiras,2207009
Pi-Olho D Agua do Piaui,2207108
Pi-Padre Marcos,2207207
Pi-Paes Landim,2207306
Pi-Pajeu do Piaui,2207355
Pi-Palmeira do Piaui,2207405
Pi-Palmeirais,2207504
Pi-Paqueta,2207553
Pi-Parnagua,2207603
Pi-Parnaiba,2207702
Pi-Passagem Franca do Piaui,2207751
Pi-Patos do Piaui,2207777
Pi-Pau D Arco do Piaui,2207793
Pi-Paulistana,2207801
Pi-Pavussu,2207850
Pi-Pedro Ii,2207900
Pi-Pedro Laurentino,2207934
Pi-Nova Santa Rita,2207959
Pi-Picos,2208007
Pi-Pimenteiras,2208106
Pi-Pio Ix,2208205
Pi-Piracuruca,2208304
Pi-Piripiri,2208403
Pi-Porto,2208502
Pi-Porto Alegre do Piaui,2208551
Pi-Prata do Piaui,2208601
Pi-Queimada Nova,2208650
Pi-Redencao do Gurgueia,2208700
Pi-Regeneracao,2208809
Pi-Riacho Frio,2208858
Pi-Ribeira do Piaui,2208874
Pi-Ribeiro Goncalves,2208908
Pi-Rio Grande do Piaui,2209005
Pi-Santa Cruz do Piaui,2209104
Pi-Santa Cruz dos Milagres,2209153
Pi-Santa Filomena,2209203
Pi-Santa Luz,2209302
Pi-Santana do Piaui,2209351
Pi-Santa Rosa do Piaui,2209377
Pi-Santo Antonio de Lisboa,2209401
Pi-Santo Antonio dos Milagres,2209450
Pi-Santo Inacio do Piaui,2209500
Pi-Sao Braz do Piaui,2209559
Pi-Sao Felix do Piaui,2209609
Pi-Sao Francisco de Assis do Piaui,2209658
Pi-Sao Francisco do Piaui,2209708
Pi-Sao Goncalo do Gurgueia,2209757
Pi-Sao Goncalo do Piaui,2209807
Pi-Sao Joao da Canabrava,2209856
Pi-Sao Joao da Fronteira,2209872
Pi-Sao Joao da Serra,2209906
Pi-Sao Joao da Varjota,2209955
Pi-Sao Joao do Arraial,2209971
Pi-Sao Joao do Piaui,2210003
